Date,yyyy-mm-dd,FCH4 Value,AVG FCH4,Standardized FCH4 AVG
3/31/2015,,19.672,,
3/31/2015,,26.252,,
3/31/2015,,26.801,,
3/31/2015,,19.887,,
3/31/2015,,21.426,,
3/31/2015,,21.859,,
3/31/2015,,15.942,,
3/31/2015,,19.313,,
3/31/2015,,21.911,,
3/31/2015,,16.915,,
3/31/2015,,44.225,,
3/31/2015,,59.395,,
4/1/2015,,25.192,,
4/1/2015,,17.81,,
4/1/2015,,13.664,,
4/1/2015,,16.141,,
4/1/2015,,16.25,,
4/1/2015,,18.003,,
4/1/2015,,15.018,,
4/1/2015,,17.947,,
4/2/2015,,24.623,,
4/2/2015,,17.084,,
4/2/2015,,18.683,,
4/2/2015,,16.454,,
4/2/2015,,13.478,,
4/2/2015,,14.194,,
4/2/2015,,16.116,,
4/2/2015,,13.519,,
4/2/2015,,11.949,,
4/2/2015,,20.723,,
4/2/2015,,18.442,,
4/2/2015,,20.232,,
4/2/2015,,16.944,,
4/2/2015,,19.251,,
4/2/2015,,17.07,,
4/2/2015,,14.856,,
4/2/2015,,14.309,,
4/2/2015,,15.1,,
4/2/2015,,13.952,,
4/2/2015,,18.359,,
4/2/2015,,17.081,,
4/2/2015,,20.301,,
4/2/2015,,17.774,,
4/2/2015,,17.221,,
4/2/2015,,26.222,,
4/2/2015,,15.755,,
4/2/2015,,12.404,,
4/2/2015,,15.774,,
4/2/2015,,20.086,,
4/2/2015,,16.114,,
4/2/2015,,19.067,,
4/2/2015,,17.248,,
4/2/2015,,18.926,,
4/2/2015,,16.437,,
4/3/2015,,18.645,,
4/3/2015,,15.888,,
4/3/2015,,19.488,,
4/3/2015,,19.114,,
4/3/2015,,17.568,,
4/3/2015,,14.796,,
4/3/2015,,14.537,,
4/3/2015,,17.332,,
4/3/2015,,15.58,,
4/3/2015,,14.626,,
4/3/2015,,15.474,,
4/3/2015,,13.173,,
4/3/2015,,12.11,,
4/3/2015,,14.166,,
4/3/2015,,12.93,,
4/3/2015,,11.691,,
4/3/2015,,21.722,,
4/3/2015,,18.377,,
4/3/2015,,25.351,,
4/3/2015,,24.159,,
4/3/2015,,23.27,,
4/3/2015,,20.071,,
4/3/2015,,19,,
4/3/2015,,20.512,,
4/3/2015,,12.598,,
4/3/2015,,28.755,,
4/3/2015,,23.338,,
4/3/2015,,23.35,,
4/3/2015,,27.006,,
4/3/2015,,24.329,,
4/3/2015,,26.114,,
4/3/2015,,22.765,,
4/3/2015,,21.694,,
4/3/2015,,19.762,,
4/3/2015,,11.922,,
4/3/2015,,9.188,,
4/3/2015,,20.264,,
4/4/2015,,19.027,,
4/4/2015,,1.599,,
4/4/2015,,32.408,,
4/4/2015,,16.691,,
4/4/2015,,18.142,,
4/4/2015,,16.698,,
4/4/2015,,19.611,,
4/4/2015,,23.293,,
4/4/2015,,27.106,,
4/4/2015,,19.958,,
4/4/2015,,19.672,,
4/4/2015,,26.462,,
4/4/2015,,21.221,,
4/4/2015,,23.628,,
4/4/2015,,21.789,,
4/4/2015,,26.136,,
4/4/2015,,24.812,,
4/4/2015,,20.778,,
4/4/2015,,17.841,,
4/4/2015,,12.41,,
4/4/2015,,13.399,,
4/4/2015,,15.706,,
4/4/2015,,19.268,,
4/4/2015,,16.292,,
4/4/2015,,10.511,,
4/4/2015,,14.899,,
4/5/2015,,126.943,,
4/5/2015,,10.384,,
4/5/2015,,11.436,,
4/5/2015,,11,,
4/5/2015,,28.306,,
4/5/2015,,25.859,,
4/5/2015,,25.303,,
4/5/2015,,14.109,,
4/5/2015,,21.97,,
4/5/2015,,21.748,,
4/5/2015,,14.275,,
4/5/2015,,16.789,,
4/5/2015,,18.223,,
4/6/2015,,16.87,,
4/6/2015,,13.457,,
4/6/2015,,15.312,,
4/6/2015,,17.294,,
4/6/2015,,13.812,,
4/6/2015,,15.426,,
4/6/2015,,16.129,,
4/6/2015,,16.298,,
4/6/2015,,16.14,,
4/6/2015,,16.142,,
4/6/2015,,15.045,,
4/6/2015,,13.976,,
4/6/2015,,12.266,,
4/6/2015,,13.541,,
4/6/2015,,13.381,,
4/6/2015,,16.272,,
4/6/2015,,17.992,,
4/6/2015,,16.506,,
4/6/2015,,18.95,,
4/6/2015,,18.005,,
4/6/2015,,18.795,,
4/6/2015,,27.95,,
4/6/2015,,17.251,,
4/6/2015,,15.778,,
4/6/2015,,16.162,,
4/6/2015,,18.35,,
4/6/2015,,14.698,,
4/6/2015,,12.098,,
4/6/2015,,12.169,,
4/6/2015,,17.216,,
4/6/2015,,16.71,,
4/6/2015,,11.269,,
4/6/2015,,11.672,,
4/6/2015,,12.155,,
4/6/2015,,18.682,,
4/6/2015,,9.972,,
4/6/2015,,23.758,,
4/6/2015,,6.245,,
4/7/2015,,21.582,,
4/7/2015,,15.906,,
4/7/2015,,13.643,,
4/7/2015,,13.158,,
4/7/2015,,11.428,,
4/7/2015,,15.524,,
4/7/2015,,12.148,,
4/7/2015,,16.699,,
4/7/2015,,11.58,,
4/7/2015,,16.717,,
4/7/2015,,17.742,,
4/7/2015,,12.985,,
4/7/2015,,12.391,,
4/7/2015,,16.329,,
4/7/2015,,15.219,,
4/7/2015,,17.434,,
4/7/2015,,13.098,,
4/7/2015,,16.233,,
4/7/2015,,18.485,,
4/7/2015,,16.88,,
4/7/2015,,20.567,,
4/7/2015,,14.499,,
4/7/2015,,18.686,,
4/7/2015,,14.471,,
4/7/2015,,16.667,,
4/8/2015,,13.49,,
4/8/2015,,17.932,,
4/8/2015,,12.116,,
4/8/2015,,11.927,,
4/8/2015,,18.597,,
4/8/2015,,16.456,,
4/8/2015,,14.097,,
4/8/2015,,16.102,,
4/8/2015,,19.707,,
4/8/2015,,21.424,,
4/8/2015,,25.406,,
4/8/2015,,25.204,,
4/8/2015,,19.888,,
4/8/2015,,23.109,,
4/8/2015,,19.158,,
4/8/2015,,18.211,,
4/8/2015,,14.207,,
4/8/2015,,19.949,,
4/8/2015,,19.437,,
4/8/2015,,10.925,,
4/8/2015,,11.03,,
4/8/2015,,12.53,,
4/8/2015,,12.166,,
4/8/2015,,14.271,,
4/8/2015,,15.8,,
4/8/2015,,17.176,,
4/8/2015,,13.696,,
4/8/2015,,13.918,,
4/8/2015,,10.179,,
4/8/2015,,8.422,,
4/8/2015,,10.182,,
4/9/2015,,16.307,,
4/9/2015,,19.779,,
4/9/2015,,14.656,,
4/9/2015,,15.714,,
4/9/2015,,15.094,,
4/9/2015,,17.959,,
4/9/2015,,18.365,,
4/9/2015,,17.517,,
4/9/2015,,22.318,,
4/9/2015,,23.712,,
4/9/2015,,22.688,,
4/9/2015,,19.67,,
4/9/2015,,17.514,,
4/9/2015,,23.225,,
4/9/2015,,17.609,,
4/9/2015,,24.209,,
4/9/2015,,16.849,,
4/10/2015,,11.778,,
4/10/2015,,17.273,,
4/10/2015,,22.331,,
4/10/2015,,20.635,,
4/10/2015,,19.88,,
4/10/2015,,22.953,,
4/10/2015,,20.703,,
4/10/2015,,23.449,,
4/10/2015,,22.563,,
4/10/2015,,24.486,,
4/10/2015,,13.78,,
4/10/2015,,22.244,,
4/10/2015,,25.613,,
4/10/2015,,30.153,,
4/10/2015,,18.918,,
4/10/2015,,18.598,,
4/10/2015,,24.396,,
4/10/2015,,24.318,,
4/10/2015,,27.77,,
4/10/2015,,16.125,,
4/10/2015,,18.671,,
4/10/2015,,23.501,,
4/10/2015,,20.018,,
4/10/2015,,17.97,,
4/10/2015,,17.43,,
4/11/2015,,24.845,,
4/11/2015,,16.845,,
4/11/2015,,11.842,,
4/12/2015,,26.713,,
4/12/2015,,17.388,,
4/12/2015,,17.445,,
4/12/2015,,24.145,,
4/12/2015,,25.265,,
4/12/2015,,21.612,,
4/12/2015,,12.644,,
4/12/2015,,25.177,,
4/12/2015,,17.521,,
4/12/2015,,22.597,,
4/12/2015,,20.688,,
4/12/2015,,24.948,,
4/12/2015,,13.096,,
4/12/2015,,20.101,,
4/12/2015,,23.334,,
4/13/2015,,20.592,,
4/13/2015,,23.148,,
4/13/2015,,21.628,,
4/13/2015,,15.702,,
4/13/2015,,18.567,,
4/13/2015,,17.823,,
4/13/2015,,16.589,,
4/13/2015,,21.01,,
4/13/2015,,20.671,,
4/13/2015,,11.308,,
4/13/2015,,17.507,,
4/13/2015,,18.117,,
4/13/2015,,11.682,,
4/13/2015,,18.361,,
4/13/2015,,18.642,,
4/13/2015,,21.326,,
4/13/2015,,15.056,,
4/13/2015,,22.207,,
4/13/2015,,12.934,,
4/13/2015,,15.179,,
4/13/2015,,29.297,,
4/13/2015,,24.475,,
4/13/2015,,6.956,,
4/13/2015,,13.551,,
4/13/2015,,23.596,,
4/13/2015,,22.264,,
4/13/2015,,19.47,,
4/13/2015,,17.516,,
4/13/2015,,24.787,,
4/13/2015,,16.139,,
4/13/2015,,19.794,,
4/14/2015,,33.775,,
4/14/2015,,25.356,,
4/14/2015,,18.567,,
4/14/2015,,24.958,,
4/14/2015,,18.916,,
4/16/2015,,18.879,,
4/16/2015,,28.943,,
4/16/2015,,19.679,,
4/16/2015,,14.218,,
4/17/2015,,20.708,,
4/17/2015,,25.069,,
4/17/2015,,23.216,,
4/17/2015,,25.178,,
4/17/2015,,25.434,,
4/17/2015,,24.141,,
4/17/2015,,25.712,,
4/17/2015,,17.112,,
4/17/2015,,28.755,,
4/17/2015,,23.172,,
4/17/2015,,24.641,,
4/17/2015,,29,,
4/17/2015,,21.662,,
4/17/2015,,27.217,,
4/17/2015,,19.538,,
4/17/2015,,15.786,,
4/17/2015,,17.737,,
4/17/2015,,15.768,,
4/18/2015,,17.156,,
4/18/2015,,16.661,,
4/18/2015,,17.601,,
4/18/2015,,16.396,,
4/18/2015,,19.58,,
4/18/2015,,20.637,,
4/18/2015,,20.284,,
4/18/2015,,14.697,,
4/18/2015,,21.669,,
4/18/2015,,30.185,,
4/18/2015,,12.698,,
4/18/2015,,11.713,,
4/18/2015,,17.368,,
4/18/2015,,17.557,,
4/18/2015,,21.463,,
4/18/2015,,19.608,,
4/19/2015,,18.327,,
4/19/2015,,23.689,,
4/19/2015,,15.973,,
4/19/2015,,16.788,,
4/19/2015,,17.698,,
4/19/2015,,14.198,,
4/19/2015,,14.899,,
4/19/2015,,17.874,,
4/19/2015,,18.305,,
4/19/2015,,15.927,,
4/20/2015,,21.041,,
4/20/2015,,22.608,,
4/20/2015,,16.03,,
4/20/2015,,17.899,,
4/20/2015,,20.502,,
4/20/2015,,20.786,,
4/20/2015,,21.583,,
4/20/2015,,24.504,,
4/20/2015,,17.44,,
4/21/2015,,22.805,,
4/21/2015,,21.021,,
4/21/2015,,21.469,,
4/21/2015,,21.188,,
4/21/2015,,18.948,,
4/21/2015,,23.547,,
4/21/2015,,16.271,,
4/21/2015,,24.848,,
4/21/2015,,19.275,,
4/21/2015,,18.561,,
4/21/2015,,18.202,,
4/21/2015,,17.658,,
4/21/2015,,18.158,,
4/21/2015,,21.284,,
