Year,Mean WTE
1990,413.48
1991,413.28
1992,413.26
1993,413.37
1994,413.51
1995,413.54
1996,413.62
1997,413.64
1998,413.54
1999,413.6
2000,413.55
2001,413.56
2002,413.56
2003,413.41
2004,413.31
2005,413.38
2006,413.31
2007,413.16
2008,413.18
2009,413.22
2010,413.17
2011,413.31
2012,413.33
2013,413.27
2014,413.32
2015,413.3
2016,413.36
2017,413.38
2018,413.3
2019,413.175
2020,411.17
2021,411.1
